['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:06.286904
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:07.215531
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:13.027892
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:17.550792
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [4, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:24.138061
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [7, '4', 'Woodlawn']] 2021-11-25 10:41:30.706050
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn']] 2021-11-25 10:41:37.385808
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn']] 2021-11-25 10:41:44.128858
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [11, '2', 'Wakefield-241 St']] 2021-11-25 10:41:50.720779
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [11, '2', 'Wakefield-241 St']] 2021-11-25 10:41:57.665775
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:04.440542
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:11.117024
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:17.789895
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [10, '2', 'Wakefield-241 St']] 2021-11-25 10:42:24.532135
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:29.135332
['Franklin Avenue-Medgar Evers College', [2, '3', 'Harlem-148 St'], [6, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:31.318307
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:40.278689
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:40.945184
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:47.635271
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:42:54.089556
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:00.685407
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:09.030377
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:11.875009
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:15.675046
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:18.541342
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:22.148469
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:25.145121
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [4, '4', 'Woodlawn'], [9, '2', 'Wakefield-241 St']] 2021-11-25 10:43:31.779877
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St']] 2021-11-25 10:43:38.366059
['Franklin Avenue-Medgar Evers College', [1, '3', 'Harlem-148 St'], [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St']] 2021-11-25 10:43:45.184695
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:43:51.719142
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:43:58.420181
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:44:05.074500
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:44:11.879875
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:44:18.711248
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [12, '4', 'Woodlawn']] 2021-11-25 10:44:25.436173
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:44:32.313829
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:44:38.958950
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:44:45.640956
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [8, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:44:52.274209
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:44:58.780724
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:45:05.371980
['Franklin Avenue-Medgar Evers College', [3, '4', 'Woodlawn'], [7, '2', 'Wakefield-241 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:45:11.849311
