['Times Sq-42 St', [3, '2', 'Wakefield-241 St'], [4, '1', 'Van Cortlandt Park-242 St'], [7, '2', 'Wakefield-241 St']] 2022-01-11 17:51:17.072137
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:54:54.866396
['86 St', [13, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:54:56.455138
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:55:01.978493
['86 St', [13, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:55:03.339014
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:55:08.849961
['86 St', [13, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:55:10.335797
['86 St', [4, 'c', 'Euclid Av'], [12, 'c', 'Euclid Av'], [22, 'c', 'Euclid Av']] 2022-01-11 17:55:16.009959
['86 St', [13, 'c', '168 St'], [31, 'c', '168 St'], [38, 'c', '168 St']] 2022-01-11 17:55:17.211551
['Times Sq-42 St', [1, '2', 'Wakefield-241 St'], [3, '2', 'Wakefield-241 St'], [5, '1', 'Van Cortlandt Park-242 St']] 2022-01-11 17:55:38.332287
['86 St', [3, 'c', 'Euclid Av'], [11, 'c', 'Euclid Av'], [21, 'c', 'Euclid Av']] 2022-01-11 17:55:41.099465
['86 St', [13, 'c', '168 St'], [30, 'c', '168 St'], [37, 'c', '168 St']] 2022-01-11 17:55:41.109439
['86 St', [13, 'c', '168 St'], [30, 'c', '168 St'], [37, 'c', '168 St']] 2022-01-11 17:55:45.073227
['86 St', [3, 'c', 'Euclid Av'], [11, 'c', 'Euclid Av'], [21, 'c', 'Euclid Av']] 2022-01-11 17:55:45.088846
['86 St', [3, 'c', 'Euclid Av'], [11, 'c', 'Euclid Av'], [21, 'c', 'Euclid Av']] 2022-01-11 17:55:48.414009
['86 St', [13, 'c', '168 St'], [30, 'c', '168 St'], [37, 'c', '168 St']] 2022-01-11 17:55:48.425978
['86 St', [3, 'c', 'Euclid Av'], [11, 'c', 'Euclid Av'], [21, 'c', 'Euclid Av']] 2022-01-11 17:55:52.210742
['86 St', [13, 'c', '168 St'], [30, 'c', '168 St'], [37, 'c', '168 St']] 2022-01-11 17:55:52.421208
