['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:15.850974
['Jackson Hts-Roosevelt Av', [2, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:23.059732
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:30.095097
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [4, 'e', 'Jamaica-179 St']] 2021-11-26 09:43:37.179294
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av'], [3, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:43:44.378495
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [3, 'e', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:43:51.418505
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [3, 'e', 'Jamaica-179 St'], [3, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:43:58.449973
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:05.544824
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:12.682114
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:19.716081
['Jackson Hts-Roosevelt Av', [1, 'F', 'Jamaica-179 St'], [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:26.835710
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av'], [3, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:34.110270
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av'], [3, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:41.215273
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:48.203895
['Jackson Hts-Roosevelt Av', [2, 'e', 'Jamaica-179 St'], [2, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:44:55.202725
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:02.209420
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:09.347524
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:16.345611
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:23.444512
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:30.774299
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [2, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:37.695510
['Jackson Hts-Roosevelt Av', [1, 'e', 'Jamaica-179 St'], [1, 'r', 'Forest Hills-71 Av'], [1, 'r', 'Forest Hills-71 Av']] 2021-11-26 09:45:44.888079
