['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [6, '2', 'Wakefield-241 St'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:54:39.219044
['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [6, '2', 'Wakefield-241 St'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:54:45.228052
['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [6, '2', 'Wakefield-241 St'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:54:51.218763
['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [6, '2', 'Wakefield-241 St'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:54:57.622563
['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [5, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-25 15:55:03.878756
['Franklin Avenue-Medgar Evers College', [3, '5', 'Nereid Av'], [5, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-25 15:55:09.874641
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-25 15:55:15.797914
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-25 15:55:22.294834
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '5', 'Eastchester-Dyre Av'], [6, '2', 'Wakefield-241 St']] 2021-10-25 15:55:28.997993
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:55:36.163501
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:55:43.500880
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:55:51.083117
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:55:57.300779
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn']] 2021-10-25 15:56:03.209654
['Franklin Avenue-Medgar Evers College', [2, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn']] 2021-10-25 15:56:10.812673
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [5, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn']] 2021-10-25 15:56:18.252821
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-25 15:56:24.950209
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-25 15:56:30.862229
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-25 15:56:36.896464
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '5', 'Eastchester-Dyre Av'], [5, '2', 'Wakefield-241 St']] 2021-10-25 15:56:42.788013
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '2', 'Wakefield-241 St'], [4, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:56:48.870227
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [4, '2', 'Wakefield-241 St'], [4, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:56:55.065127
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [3, '5', 'Eastchester-Dyre Av'], [4, '2', 'Wakefield-241 St']] 2021-10-25 15:57:00.946894
