['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:45.186710
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:40:51.998607
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:40:58.529238
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:05.080543
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:11.636085
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:18.445700
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:25.059351
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:31.860424
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:38.753060
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:45.394585
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:51.901331
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:58.536328
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:42:05.066021
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:42:11.591139
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:18.620598
['W 4 St-Wash Sq', [2, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:25.073302
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:31.575364
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:38.330575
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:45.196263
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:51.853202
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:42:58.523405
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:05.173009
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:11.740349
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:18.127900
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:31.849975
['W 4 St-Wash Sq', [2, 'c', '168 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:38.603903
['W 4 St-Wash Sq', [2, 'c', '168 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:45.301395
['W 4 St-Wash Sq', [2, 'c', '168 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:51.885564
['W 4 St-Wash Sq', [2, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:43:58.504610
['W 4 St-Wash Sq', [2, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:05.128786
['W 4 St-Wash Sq', [2, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:11.704457
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:18.301337
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:24.961479
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:31.559314
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:37.997605
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:44.606429
['W 4 St-Wash Sq', [1, 'c', '168 St'], [4, 'e', 'Jamaica Center-Parsons/Archer'], [6, 'a', 'Inwood-207 St']] 2021-11-27 10:44:51.192183
['W 4 St-Wash Sq', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [14, 'c', '168 St']] 2021-11-27 10:44:57.782657
['W 4 St-Wash Sq', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [14, 'c', '168 St']] 2021-11-27 10:45:04.556237
['W 4 St-Wash Sq', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [14, 'c', '168 St']] 2021-11-27 10:45:11.035807
['W 4 St-Wash Sq', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [13, 'c', '168 St']] 2021-11-27 10:45:17.655141
['W 4 St-Wash Sq', [4, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:24.243997
['W 4 St-Wash Sq', [3, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:30.996931
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:37.636634
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:44.263976
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [5, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:50.919286
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:45:57.598812
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:04.282440
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:10.959377
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:17.615122
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:24.334777
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:31.003555
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:37.800720
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:44.534415
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:51.210390
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:46:57.812772
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:47:04.265828
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:47:10.774593
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [12, 'c', '168 St']] 2021-11-27 10:47:17.503157
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [11, 'c', '168 St']] 2021-11-27 10:47:24.054563
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [11, 'c', '168 St']] 2021-11-27 10:47:30.780948
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [11, 'c', '168 St']] 2021-11-27 10:47:37.393926
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [11, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:47:44.172035
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [11, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:47:50.777801
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:47:57.241913
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:48:03.958516
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:48:10.593516
['W 4 St-Wash Sq', [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:48:17.145437
['W 4 St-Wash Sq', [2, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:48:23.728071
['W 4 St-Wash Sq', [2, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [12, 'a', 'Inwood-207 St']] 2021-11-27 10:48:30.247911
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [12, 'a', 'Inwood-207 St']] 2021-11-27 10:48:36.871765
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:48:43.587977
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:48:50.191012
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:48:57.033536
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:49:03.605557
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [10, 'c', '168 St'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:49:10.078550
